region,quarter,product,units,revenue_eur
North,Q1,Widget,120,14400.00
North,Q2,Widget,135,16200.00
North,Q3,Widget,180,21600.00
North,Q1,Gadget,40,12000.00
North,Q2,Gadget,55,16500.00
North,Q3,Gadget,61,18300.00
South,Q1,Widget,90,10800.00
South,Q2,Widget,88,10560.00
South,Q3,Widget,94,11280.00
South,Q1,Gadget,30,9000.00
South,Q2,Gadget,28,8400.00
South,Q3,Gadget,35,10500.00
East,Q1,Widget,210,25200.00
East,Q2,Widget,245,29400.00
East,Q3,Widget,305,36600.00
East,Q1,Gadget,75,22500.00
East,Q2,Gadget,80,24000.00
East,Q3,Gadget,96,28800.00
West,Q1,Widget,60,7200.00
West,Q2,Widget,58,6960.00
West,Q3,Widget,51,6120.00
West,Q1,Gadget,20,6000.00
West,Q2,Gadget,22,6600.00
West,Q3,Gadget,19,5700.00
