Unnamed: 0;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21
Luvata Pori Oy;;;;;;PRICE LIST;maalis.25;;;;;;;BKFP=flat, radius R ~1;;;;;;
;;;;;;;;;;;;;;BKMI=round edged flat (R=0,5x thickness);;;;;;
;;;;;;ABB Motors and Generators, Helsinki;;;;; ; ;;;;;;;;
;;;;;;;;;;;;;;BKMP=tapered flat, R ~1;;;;;;
;;;;;;;;;;;;;;BKMJ=round edged, tapered flat;;;;;;
;;;;;;;;;;;;;Machining cost;;;;;;;
;;;;;;;;;;;;;3,15;Eur/pc;;;;;;
Delivery term: FCA Pori;;;;;;;;;;;;;;;;;;;;
Copper price € / kg:;;;;9,481;;Bono ;tba;;;;;;;;;;;;;
LME +  EUR 335/ton + 2%;;;;;;;;;;;;;;;;;;;;
Metal price of copper set is based on the monthly average LME quotation prior to the order date.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
"No energy adder for May 2023 deliveries; machining capacity increased from 800pc to 1200 pc/wk, additional cost +2eur/pc for qnty over 800 (will be invoiced separately)";;;;;;;;;;;;;;;;;;;;
The adder will be invoiced collectively once a month based on shipped quantities. First invoice is therefore expected early February.;;;;;;;;;;;;Koneistettu ->;;Handling fee for small quantities (included in the price calculation);;;;;;
Type;Conversion;Packing;Handling;Total;Copper;KG Price                       excl. machining;Weight/meter;Lenght mm;PC Price excl. machining;PCS;KG;KG Price                     incl. machining;PC Price                      incl. machining;300 kg or less 350eur;301-500 kg 250eur;-> kaavat;KG;apu 300;apu 500;apu summa
BKFP (BKFD) 22,3x7,2 R1;4,87;0,03;0;4,9;9,481;14,381;1,408;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 22,4x7,2 R1;4,87;0,03;0;4,9;9,481;14,381;1,408;;0;;0;#JAKO/0!;3,15;;;no tooling yet, EUR 1400 to be charged with first order;0;350;250;350
BKFP (BKFD) 25x4 R1;1,84;0,03;0;1,87;9,481;11,351;0,894;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 25X6 R1;1,84;0,03;0;1,87;9,481;11,351;1,333;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 25X9,5 R1;1,84;0,03;0;1,87;9,481;11,351;2,116;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 28X6 R1;1,84;0,03;0;1,87;9,481;11,351;1,498;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 28X7 R1;1,84;0,03;0;1,87;9,481;11,351;1,752;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 28X7,5 R1;1,84;0,03;0;1,87;9,481;11,351;1,87;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 28X8 R1;1,84;0,03;0;1,87;9,481;11,351;2,003;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 28X9 R1;1,84;0,03;0;1,87;9,481;11,351;2,253;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 28X10 R1;1,84;0,03;0;1,87;9,481;11,351;2,503;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 32X5 R1;1,84;0,03;0;1,87;9,481;11,351;1,43;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 32X5,5 R1;1,84;0,03;0;1,87;9,481;11,351;1,573;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 32X6,5 R1;1,84;0,03;0;1,87;9,481;11,351;1,86;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 32X7 R1;1,84;0,03;0;1,87;9,481;11,351;2,003;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 32X7,5 R1;1,84;0,03;0;1,87;9,481;11,351;2,146;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 32X8 R1;1,84;0,03;0;1,87;9,481;11,351;2,289;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 32X8,2 R1;1,84;0,03;0;1,87;9,481;11,351;2,332;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 32X9 R1;1,84;0,03;0;1,87;9,481;11,351;2,535;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 32X10 R1;1,84;0,03;0;1,87;9,481;11,351;2,86;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 32x11 R1,6;1,84;0,03;0;1,87;9,481;11,351;3,147;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 32x12,5 R1,6;1,84;0,03;0;1,87;9,481;11,351;3,576;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 35x4 R1;1,84;0,03;0;1,87;9,481;11,351;1,252;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 35x4,5 R1;1,84;0,03;0;1,87;9,481;11,351;1,408;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 35x5,5 R1;1,84;0,03;0;1,87;9,481;11,351;1,713;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 35x14 R1;1,84;0,03;0;1,87;9,481;11,351;4,36;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
